text,date,user_location,retweets,likes,clean_text,sentiment,label,month,year
Government should make vaccines mandatory #PublicHealth,2023-09-16,Hyderabad,67,147,government should make vaccines mandatory,0.0,neutral,2023-09,2023
Traditional medicine is better than vaccines #AlternativeMedicine,2023-01-01,Ahmedabad,16,11,traditional medicine is better than vaccines,0.25,positive,2023-01,2023
Worried about vaccine side effects #VaccineSafety,2022-02-05,Delhi,64,21,worried about vaccine side effects,0.0,neutral,2022-02,2022
Vaccine misinformation is dangerous #FactCheck,2021-07-29,Delhi,13,191,vaccine misinformation is dangerous,-0.6,negative,2021-07,2021
Traditional medicine is better than vaccines #AlternativeMedicine,2023-02-02,Bangalore,51,124,traditional medicine is better than vaccines,0.25,positive,2023-02,2023
Proud to be vaccinated! #Vaccinated,2021-01-29,Bangalore,32,133,proud to be vaccinated,0.8,positive,2021-01,2021
Got my vaccine today! Feeling protected 游눌 #VaccinationDrive,2022-04-04,Delhi,86,25,got my vaccine today feeling protected,0.0,neutral,2022-04,2022
Not sure about COVID vaccine safety 游 #VaccineHesitancy,2023-01-08,Kolkata,3,98,not sure about covid vaccine safety,-0.25,negative,2023-01,2023
Children need all recommended vaccines #ChildHealth,2021-02-08,Pune,28,156,children need all recommended vaccines,0.0,neutral,2021-02,2021
Traditional medicine is better than vaccines #AlternativeMedicine,2023-09-01,Chennai,21,26,traditional medicine is better than vaccines,0.25,positive,2023-09,2023
Got my vaccine today! Feeling protected 游눌 #VaccinationDrive,2023-04-29,Hyderabad,55,91,got my vaccine today feeling protected,0.0,neutral,2023-04,2023
Government should make vaccines mandatory #PublicHealth,2021-10-30,Ahmedabad,58,83,government should make vaccines mandatory,0.0,neutral,2021-10,2021
Worried about vaccine side effects #VaccineSafety,2022-07-24,Chennai,37,14,worried about vaccine side effects,0.0,neutral,2022-07,2022
Not sure about COVID vaccine safety 游 #VaccineHesitancy,2023-10-06,Mumbai,23,11,not sure about covid vaccine safety,-0.25,negative,2023-10,2023
Not sure about COVID vaccine safety 游 #VaccineHesitancy,2022-05-07,Ahmedabad,26,71,not sure about covid vaccine safety,-0.25,negative,2022-05,2022
Children need all recommended vaccines #ChildHealth,2022-06-04,Pune,26,173,children need all recommended vaccines,0.0,neutral,2022-06,2022
Not sure about COVID vaccine safety 游 #VaccineHesitancy,2021-07-18,Bangalore,92,191,not sure about covid vaccine safety,-0.25,negative,2021-07,2021
Government should make vaccines mandatory #PublicHealth,2022-01-13,Bangalore,19,45,government should make vaccines mandatory,0.0,neutral,2022-01,2022
Children need all recommended vaccines #ChildHealth,2023-01-04,Hyderabad,70,16,children need all recommended vaccines,0.0,neutral,2023-01,2023
Traditional medicine is better than vaccines #AlternativeMedicine,2022-06-05,Hyderabad,47,187,traditional medicine is better than vaccines,0.25,positive,2022-06,2022
Worried about vaccine side effects #VaccineSafety,2023-10-11,Kolkata,1,87,worried about vaccine side effects,0.0,neutral,2023-10,2023
Vaccines are a conspiracy #AntiVax,2022-01-30,Ahmedabad,76,71,vaccines are a conspiracy,0.0,neutral,2022-01,2022
Government should make vaccines mandatory #PublicHealth,2021-10-01,Hyderabad,63,81,government should make vaccines mandatory,0.0,neutral,2021-10,2021
Worried about vaccine side effects #VaccineSafety,2021-01-11,Kolkata,88,32,worried about vaccine side effects,0.0,neutral,2021-01,2021
Worried about vaccine side effects #VaccineSafety,2023-02-18,Hyderabad,50,87,worried about vaccine side effects,0.0,neutral,2023-02,2023
Children need all recommended vaccines #ChildHealth,2022-02-05,Chennai,45,159,children need all recommended vaccines,0.0,neutral,2022-02,2022
Worried about vaccine side effects #VaccineSafety,2021-04-02,Chennai,32,167,worried about vaccine side effects,0.0,neutral,2021-04,2021
Not sure about COVID vaccine safety 游 #VaccineHesitancy,2021-01-02,Mumbai,32,157,not sure about covid vaccine safety,-0.25,negative,2021-01,2021
Vaccines are important for public health #VaccineForAll,2022-08-12,Chennai,25,149,vaccines are important for public health,0.2,positive,2022-08,2022
Proud to be vaccinated! #Vaccinated,2021-07-13,Hyderabad,89,173,proud to be vaccinated,0.8,positive,2021-07,2021
Vaccine misinformation is dangerous #FactCheck,2021-05-23,Delhi,43,48,vaccine misinformation is dangerous,-0.6,negative,2021-05,2021
Vaccines are a conspiracy #AntiVax,2021-11-13,Bangalore,5,8,vaccines are a conspiracy,0.0,neutral,2021-11,2021
Worried about vaccine side effects #VaccineSafety,2021-08-11,Ahmedabad,40,113,worried about vaccine side effects,0.0,neutral,2021-08,2021
Vaccines are a conspiracy #AntiVax,2021-04-21,Bangalore,6,83,vaccines are a conspiracy,0.0,neutral,2021-04,2021
Traditional medicine is better than vaccines #AlternativeMedicine,2021-01-22,Delhi,2,126,traditional medicine is better than vaccines,0.25,positive,2021-01,2021
Children need all recommended vaccines #ChildHealth,2023-05-24,Hyderabad,74,11,children need all recommended vaccines,0.0,neutral,2023-05,2023
Proud to be vaccinated! #Vaccinated,2023-06-28,Mumbai,44,121,proud to be vaccinated,0.8,positive,2023-06,2023
Got my vaccine today! Feeling protected 游눌 #VaccinationDrive,2023-01-20,Chennai,44,135,got my vaccine today feeling protected,0.0,neutral,2023-01,2023
Proud to be vaccinated! #Vaccinated,2021-11-05,Pune,31,50,proud to be vaccinated,0.8,positive,2021-11,2021
Not sure about COVID vaccine safety 游 #VaccineHesitancy,2023-07-03,Bangalore,21,36,not sure about covid vaccine safety,-0.25,negative,2023-07,2023
Vaccines are a conspiracy #AntiVax,2023-05-23,Bangalore,2,155,vaccines are a conspiracy,0.0,neutral,2023-05,2023
Vaccine misinformation is dangerous #FactCheck,2023-01-25,Bangalore,60,92,vaccine misinformation is dangerous,-0.6,negative,2023-01,2023
Worried about vaccine side effects #VaccineSafety,2021-12-19,Pune,75,48,worried about vaccine side effects,0.0,neutral,2021-12,2021
Government should make vaccines mandatory #PublicHealth,2021-06-08,Delhi,60,23,government should make vaccines mandatory,0.0,neutral,2021-06,2021
Traditional medicine is better than vaccines #AlternativeMedicine,2023-03-16,Chennai,91,107,traditional medicine is better than vaccines,0.25,positive,2023-03,2023
Traditional medicine is better than vaccines #AlternativeMedicine,2023-08-14,Ahmedabad,49,176,traditional medicine is better than vaccines,0.25,positive,2023-08,2023
Got my vaccine today! Feeling protected 游눌 #VaccinationDrive,2022-08-31,Mumbai,35,116,got my vaccine today feeling protected,0.0,neutral,2022-08,2022
Not sure about COVID vaccine safety 游 #VaccineHesitancy,2022-08-01,Pune,33,163,not sure about covid vaccine safety,-0.25,negative,2022-08,2022
Worried about vaccine side effects #VaccineSafety,2021-10-22,Delhi,57,124,worried about vaccine side effects,0.0,neutral,2021-10,2021
Got my vaccine today! Feeling protected 游눌 #VaccinationDrive,2022-06-14,Ahmedabad,20,142,got my vaccine today feeling protected,0.0,neutral,2022-06,2022
Vaccines are important for public health #VaccineForAll,2023-05-17,Delhi,7,99,vaccines are important for public health,0.2,positive,2023-05,2023
Proud to be vaccinated! #Vaccinated,2023-07-29,Hyderabad,77,1,proud to be vaccinated,0.8,positive,2023-07,2023
Proud to be vaccinated! #Vaccinated,2021-10-20,Kolkata,37,40,proud to be vaccinated,0.8,positive,2021-10,2021
Worried about vaccine side effects #VaccineSafety,2022-01-16,Pune,13,83,worried about vaccine side effects,0.0,neutral,2022-01,2022
Not sure about COVID vaccine safety 游 #VaccineHesitancy,2023-04-18,Mumbai,88,27,not sure about covid vaccine safety,-0.25,negative,2023-04,2023
Not sure about COVID vaccine safety 游 #VaccineHesitancy,2021-09-18,Pune,64,167,not sure about covid vaccine safety,-0.25,negative,2021-09,2021
Vaccines are a conspiracy #AntiVax,2021-10-28,Pune,46,30,vaccines are a conspiracy,0.0,neutral,2021-10,2021
Vaccine misinformation is dangerous #FactCheck,2022-09-22,Hyderabad,79,92,vaccine misinformation is dangerous,-0.6,negative,2022-09,2022
Vaccine misinformation is dangerous #FactCheck,2023-04-24,Hyderabad,0,132,vaccine misinformation is dangerous,-0.6,negative,2023-04,2023
Traditional medicine is better than vaccines #AlternativeMedicine,2023-08-30,Mumbai,56,63,traditional medicine is better than vaccines,0.25,positive,2023-08,2023
Worried about vaccine side effects #VaccineSafety,2022-11-18,Kolkata,75,164,worried about vaccine side effects,0.0,neutral,2022-11,2022
Vaccines are important for public health #VaccineForAll,2021-06-05,Pune,78,133,vaccines are important for public health,0.2,positive,2021-06,2021
Traditional medicine is better than vaccines #AlternativeMedicine,2021-11-30,Delhi,72,36,traditional medicine is better than vaccines,0.25,positive,2021-11,2021
Traditional medicine is better than vaccines #AlternativeMedicine,2021-10-09,Kolkata,0,118,traditional medicine is better than vaccines,0.25,positive,2021-10,2021
Got my vaccine today! Feeling protected 游눌 #VaccinationDrive,2021-07-17,Kolkata,58,68,got my vaccine today feeling protected,0.0,neutral,2021-07,2021
Vaccines are important for public health #VaccineForAll,2023-10-06,Bangalore,77,11,vaccines are important for public health,0.2,positive,2023-10,2023
Vaccine misinformation is dangerous #FactCheck,2021-10-03,Kolkata,87,42,vaccine misinformation is dangerous,-0.6,negative,2021-10,2021
Not sure about COVID vaccine safety 游 #VaccineHesitancy,2021-08-05,Delhi,28,184,not sure about covid vaccine safety,-0.25,negative,2021-08,2021
Proud to be vaccinated! #Vaccinated,2022-05-10,Bangalore,49,150,proud to be vaccinated,0.8,positive,2022-05,2022
Worried about vaccine side effects #VaccineSafety,2021-05-31,Ahmedabad,44,51,worried about vaccine side effects,0.0,neutral,2021-05,2021
Not sure about COVID vaccine safety 游 #VaccineHesitancy,2023-01-16,Chennai,7,84,not sure about covid vaccine safety,-0.25,negative,2023-01,2023
Vaccines are important for public health #VaccineForAll,2023-10-12,Ahmedabad,28,95,vaccines are important for public health,0.2,positive,2023-10,2023
Worried about vaccine side effects #VaccineSafety,2022-06-01,Pune,85,174,worried about vaccine side effects,0.0,neutral,2022-06,2022
Not sure about COVID vaccine safety 游 #VaccineHesitancy,2021-11-07,Pune,89,170,not sure about covid vaccine safety,-0.25,negative,2021-11,2021
Vaccine misinformation is dangerous #FactCheck,2021-04-24,Delhi,16,25,vaccine misinformation is dangerous,-0.6,negative,2021-04,2021
Vaccines are a conspiracy #AntiVax,2021-10-30,Ahmedabad,75,71,vaccines are a conspiracy,0.0,neutral,2021-10,2021
Children need all recommended vaccines #ChildHealth,2023-03-25,Chennai,32,0,children need all recommended vaccines,0.0,neutral,2023-03,2023
Got my vaccine today! Feeling protected 游눌 #VaccinationDrive,2023-12-13,Ahmedabad,68,104,got my vaccine today feeling protected,0.0,neutral,2023-12,2023
Vaccine misinformation is dangerous #FactCheck,2023-10-07,Ahmedabad,69,62,vaccine misinformation is dangerous,-0.6,negative,2023-10,2023
Children need all recommended vaccines #ChildHealth,2022-11-19,Kolkata,72,76,children need all recommended vaccines,0.0,neutral,2022-11,2022
Children need all recommended vaccines #ChildHealth,2023-08-29,Chennai,97,124,children need all recommended vaccines,0.0,neutral,2023-08,2023
Worried about vaccine side effects #VaccineSafety,2022-05-09,Chennai,18,197,worried about vaccine side effects,0.0,neutral,2022-05,2022
Not sure about COVID vaccine safety 游 #VaccineHesitancy,2022-02-01,Mumbai,22,82,not sure about covid vaccine safety,-0.25,negative,2022-02,2022
Vaccines are important for public health #VaccineForAll,2023-04-02,Pune,88,142,vaccines are important for public health,0.2,positive,2023-04,2023
Vaccines are important for public health #VaccineForAll,2022-12-12,Pune,20,146,vaccines are important for public health,0.2,positive,2022-12,2022
Children need all recommended vaccines #ChildHealth,2021-11-01,Ahmedabad,34,171,children need all recommended vaccines,0.0,neutral,2021-11,2021
Worried about vaccine side effects #VaccineSafety,2023-05-17,Ahmedabad,77,73,worried about vaccine side effects,0.0,neutral,2023-05,2023
Not sure about COVID vaccine safety 游 #VaccineHesitancy,2023-07-31,Mumbai,2,84,not sure about covid vaccine safety,-0.25,negative,2023-07,2023
Vaccine misinformation is dangerous #FactCheck,2021-11-24,Ahmedabad,65,197,vaccine misinformation is dangerous,-0.6,negative,2021-11,2021
Government should make vaccines mandatory #PublicHealth,2022-10-27,Chennai,4,47,government should make vaccines mandatory,0.0,neutral,2022-10,2022
Government should make vaccines mandatory #PublicHealth,2023-09-02,Chennai,99,14,government should make vaccines mandatory,0.0,neutral,2023-09,2023
Proud to be vaccinated! #Vaccinated,2022-05-13,Chennai,42,20,proud to be vaccinated,0.8,positive,2022-05,2022
Proud to be vaccinated! #Vaccinated,2022-09-11,Pune,79,46,proud to be vaccinated,0.8,positive,2022-09,2022
Government should make vaccines mandatory #PublicHealth,2022-02-03,Mumbai,35,50,government should make vaccines mandatory,0.0,neutral,2022-02,2022
Traditional medicine is better than vaccines #AlternativeMedicine,2023-02-28,Kolkata,85,18,traditional medicine is better than vaccines,0.25,positive,2023-02,2023
Not sure about COVID vaccine safety 游 #VaccineHesitancy,2023-08-22,Ahmedabad,51,26,not sure about covid vaccine safety,-0.25,negative,2023-08,2023
Got my vaccine today! Feeling protected 游눌 #VaccinationDrive,2021-04-16,Chennai,29,145,got my vaccine today feeling protected,0.0,neutral,2021-04,2021
Not sure about COVID vaccine safety 游 #VaccineHesitancy,2022-08-12,Chennai,89,88,not sure about covid vaccine safety,-0.25,negative,2022-08,2022
Proud to be vaccinated! #Vaccinated,2023-11-29,Kolkata,30,70,proud to be vaccinated,0.8,positive,2023-11,2023
Vaccines are a conspiracy #AntiVax,2022-03-21,Delhi,55,35,vaccines are a conspiracy,0.0,neutral,2022-03,2022
Traditional medicine is better than vaccines #AlternativeMedicine,2022-07-13,Bangalore,12,118,traditional medicine is better than vaccines,0.25,positive,2022-07,2022
Worried about vaccine side effects #VaccineSafety,2022-12-27,Chennai,8,25,worried about vaccine side effects,0.0,neutral,2022-12,2022
Children need all recommended vaccines #ChildHealth,2021-01-10,Ahmedabad,41,71,children need all recommended vaccines,0.0,neutral,2021-01,2021
Vaccines are a conspiracy #AntiVax,2022-12-21,Mumbai,25,90,vaccines are a conspiracy,0.0,neutral,2022-12,2022
Government should make vaccines mandatory #PublicHealth,2021-02-19,Ahmedabad,18,99,government should make vaccines mandatory,0.0,neutral,2021-02,2021
Proud to be vaccinated! #Vaccinated,2023-05-07,Delhi,18,163,proud to be vaccinated,0.8,positive,2023-05,2023
Vaccine misinformation is dangerous #FactCheck,2023-09-20,Pune,68,174,vaccine misinformation is dangerous,-0.6,negative,2023-09,2023
Vaccines are important for public health #VaccineForAll,2022-04-28,Chennai,97,160,vaccines are important for public health,0.2,positive,2022-04,2022
Proud to be vaccinated! #Vaccinated,2022-10-23,Mumbai,21,175,proud to be vaccinated,0.8,positive,2022-10,2022
Government should make vaccines mandatory #PublicHealth,2022-02-23,Chennai,70,159,government should make vaccines mandatory,0.0,neutral,2022-02,2022
Vaccine misinformation is dangerous #FactCheck,2023-08-27,Hyderabad,76,184,vaccine misinformation is dangerous,-0.6,negative,2023-08,2023
Children need all recommended vaccines #ChildHealth,2023-02-09,Ahmedabad,34,6,children need all recommended vaccines,0.0,neutral,2023-02,2023
Government should make vaccines mandatory #PublicHealth,2022-09-29,Pune,40,23,government should make vaccines mandatory,0.0,neutral,2022-09,2022
Got my vaccine today! Feeling protected 游눌 #VaccinationDrive,2022-07-08,Ahmedabad,38,108,got my vaccine today feeling protected,0.0,neutral,2022-07,2022
Traditional medicine is better than vaccines #AlternativeMedicine,2023-01-14,Kolkata,96,163,traditional medicine is better than vaccines,0.25,positive,2023-01,2023
Got my vaccine today! Feeling protected 游눌 #VaccinationDrive,2021-03-14,Ahmedabad,96,122,got my vaccine today feeling protected,0.0,neutral,2021-03,2021
Worried about vaccine side effects #VaccineSafety,2022-03-01,Pune,67,12,worried about vaccine side effects,0.0,neutral,2022-03,2022
Vaccines are important for public health #VaccineForAll,2023-04-08,Delhi,59,4,vaccines are important for public health,0.2,positive,2023-04,2023
Government should make vaccines mandatory #PublicHealth,2023-02-15,Hyderabad,71,49,government should make vaccines mandatory,0.0,neutral,2023-02,2023
Got my vaccine today! Feeling protected 游눌 #VaccinationDrive,2023-10-11,Chennai,57,2,got my vaccine today feeling protected,0.0,neutral,2023-10,2023
Worried about vaccine side effects #VaccineSafety,2022-12-28,Chennai,1,101,worried about vaccine side effects,0.0,neutral,2022-12,2022
Vaccines are important for public health #VaccineForAll,2021-12-20,Pune,29,115,vaccines are important for public health,0.2,positive,2021-12,2021
Vaccines are a conspiracy #AntiVax,2022-10-24,Chennai,57,35,vaccines are a conspiracy,0.0,neutral,2022-10,2022
Government should make vaccines mandatory #PublicHealth,2021-10-14,Pune,54,105,government should make vaccines mandatory,0.0,neutral,2021-10,2021
Children need all recommended vaccines #ChildHealth,2021-02-24,Ahmedabad,11,144,children need all recommended vaccines,0.0,neutral,2021-02,2021
Vaccines are a conspiracy #AntiVax,2023-09-07,Bangalore,15,29,vaccines are a conspiracy,0.0,neutral,2023-09,2023
Proud to be vaccinated! #Vaccinated,2021-12-14,Bangalore,4,103,proud to be vaccinated,0.8,positive,2021-12,2021
Vaccines are a conspiracy #AntiVax,2021-12-30,Mumbai,29,148,vaccines are a conspiracy,0.0,neutral,2021-12,2021
Traditional medicine is better than vaccines #AlternativeMedicine,2022-02-10,Delhi,71,31,traditional medicine is better than vaccines,0.25,positive,2022-02,2022
Vaccines are important for public health #VaccineForAll,2023-10-10,Ahmedabad,75,37,vaccines are important for public health,0.2,positive,2023-10,2023
Traditional medicine is better than vaccines #AlternativeMedicine,2023-01-08,Kolkata,13,35,traditional medicine is better than vaccines,0.25,positive,2023-01,2023
Vaccines are important for public health #VaccineForAll,2021-04-24,Kolkata,65,104,vaccines are important for public health,0.2,positive,2021-04,2021
Government should make vaccines mandatory #PublicHealth,2023-02-09,Bangalore,72,192,government should make vaccines mandatory,0.0,neutral,2023-02,2023
Got my vaccine today! Feeling protected 游눌 #VaccinationDrive,2021-11-07,Hyderabad,34,149,got my vaccine today feeling protected,0.0,neutral,2021-11,2021
Worried about vaccine side effects #VaccineSafety,2021-09-01,Delhi,11,48,worried about vaccine side effects,0.0,neutral,2021-09,2021
Vaccine misinformation is dangerous #FactCheck,2022-11-09,Delhi,44,34,vaccine misinformation is dangerous,-0.6,negative,2022-11,2022
Vaccines are a conspiracy #AntiVax,2021-05-14,Bangalore,79,6,vaccines are a conspiracy,0.0,neutral,2021-05,2021
Traditional medicine is better than vaccines #AlternativeMedicine,2021-03-14,Pune,20,162,traditional medicine is better than vaccines,0.25,positive,2021-03,2021
Not sure about COVID vaccine safety 游 #VaccineHesitancy,2023-05-09,Delhi,34,19,not sure about covid vaccine safety,-0.25,negative,2023-05,2023
Not sure about COVID vaccine safety 游 #VaccineHesitancy,2021-09-23,Mumbai,65,24,not sure about covid vaccine safety,-0.25,negative,2021-09,2021
Worried about vaccine side effects #VaccineSafety,2021-06-13,Pune,13,64,worried about vaccine side effects,0.0,neutral,2021-06,2021
Worried about vaccine side effects #VaccineSafety,2021-08-26,Kolkata,51,130,worried about vaccine side effects,0.0,neutral,2021-08,2021
Got my vaccine today! Feeling protected 游눌 #VaccinationDrive,2023-06-21,Mumbai,12,116,got my vaccine today feeling protected,0.0,neutral,2023-06,2023
Not sure about COVID vaccine safety 游 #VaccineHesitancy,2023-07-06,Delhi,67,24,not sure about covid vaccine safety,-0.25,negative,2023-07,2023
Traditional medicine is better than vaccines #AlternativeMedicine,2023-11-02,Ahmedabad,95,91,traditional medicine is better than vaccines,0.25,positive,2023-11,2023
Traditional medicine is better than vaccines #AlternativeMedicine,2023-09-16,Chennai,62,133,traditional medicine is better than vaccines,0.25,positive,2023-09,2023
Not sure about COVID vaccine safety 游 #VaccineHesitancy,2023-12-20,Pune,82,30,not sure about covid vaccine safety,-0.25,negative,2023-12,2023
Got my vaccine today! Feeling protected 游눌 #VaccinationDrive,2023-02-17,Mumbai,1,125,got my vaccine today feeling protected,0.0,neutral,2023-02,2023
Not sure about COVID vaccine safety 游 #VaccineHesitancy,2023-12-16,Pune,72,82,not sure about covid vaccine safety,-0.25,negative,2023-12,2023
Children need all recommended vaccines #ChildHealth,2021-05-29,Mumbai,27,189,children need all recommended vaccines,0.0,neutral,2021-05,2021
Got my vaccine today! Feeling protected 游눌 #VaccinationDrive,2021-09-20,Ahmedabad,15,96,got my vaccine today feeling protected,0.0,neutral,2021-09,2021
Traditional medicine is better than vaccines #AlternativeMedicine,2023-02-24,Kolkata,51,51,traditional medicine is better than vaccines,0.25,positive,2023-02,2023
Traditional medicine is better than vaccines #AlternativeMedicine,2021-05-04,Hyderabad,49,62,traditional medicine is better than vaccines,0.25,positive,2021-05,2021
Government should make vaccines mandatory #PublicHealth,2023-02-07,Kolkata,98,6,government should make vaccines mandatory,0.0,neutral,2023-02,2023
Worried about vaccine side effects #VaccineSafety,2022-03-31,Kolkata,85,132,worried about vaccine side effects,0.0,neutral,2022-03,2022
Proud to be vaccinated! #Vaccinated,2022-01-21,Hyderabad,90,148,proud to be vaccinated,0.8,positive,2022-01,2022
Worried about vaccine side effects #VaccineSafety,2023-01-12,Pune,20,137,worried about vaccine side effects,0.0,neutral,2023-01,2023
Proud to be vaccinated! #Vaccinated,2023-06-20,Mumbai,12,180,proud to be vaccinated,0.8,positive,2023-06,2023
Not sure about COVID vaccine safety 游 #VaccineHesitancy,2021-06-22,Ahmedabad,35,187,not sure about covid vaccine safety,-0.25,negative,2021-06,2021
Government should make vaccines mandatory #PublicHealth,2021-11-04,Ahmedabad,54,116,government should make vaccines mandatory,0.0,neutral,2021-11,2021
Vaccine misinformation is dangerous #FactCheck,2022-05-25,Chennai,33,51,vaccine misinformation is dangerous,-0.6,negative,2022-05,2022
Not sure about COVID vaccine safety 游 #VaccineHesitancy,2023-01-14,Bangalore,92,179,not sure about covid vaccine safety,-0.25,negative,2023-01,2023
Worried about vaccine side effects #VaccineSafety,2022-07-08,Kolkata,41,140,worried about vaccine side effects,0.0,neutral,2022-07,2022
Vaccines are important for public health #VaccineForAll,2021-04-15,Ahmedabad,16,119,vaccines are important for public health,0.2,positive,2021-04,2021
Children need all recommended vaccines #ChildHealth,2022-03-01,Mumbai,1,59,children need all recommended vaccines,0.0,neutral,2022-03,2022
Vaccines are important for public health #VaccineForAll,2023-10-31,Delhi,57,187,vaccines are important for public health,0.2,positive,2023-10,2023
